mem: 94547452156783, value: 0
mem: 94547452156782, value: 0
mem: 94547452156781, value: 0
mem: 94547452156780, value: 0
mem: 94547452156779, value: 0
mem: 94547452156778, value: 0
mem: 94547452156777, value: 0
mem: 94547452156776, value: 0
mem: 94547452156775, value: 0
mem: 94547452156774, value: 0
mem: 94547452156773, value: 0
mem: 94547452156772, value: 0
mem: 94547452156771, value: 0
mem: 94547452156770, value: 0
mem: 94547452156769, value: 0
mem: 94547452156768, value: 0
mem: 94547452156767, value: 0
mem: 94547452156766, value: 0
mem: 94547452156765, value: 0
mem: 94547452156764, value: 0
mem: 94547452156763, value: 0
mem: 94547452156762, value: 0
mem: 94547452156761, value: 0
mem: 94547452156760, value: 0
mem: 94547452156759, value: 0
mem: 94547452156758, value: 0
mem: 94547452156757, value: 0
mem: 94547452156756, value: 0
mem: 94547452156755, value: 0
mem: 94547452156754, value: 0
mem: 94547452156753, value: 0
mem: 94547452156752, value: 0
mem: 94547452156751, value: 0
mem: 94547452156750, value: 0
mem: 94547452156749, value: 0
mem: 94547452156748, value: 0
mem: 94547452156747, value: 0
mem: 94547452156746, value: 2
mem: 94547452156745, value: 4
mem: 94547452156744, value: 193
mem: 94547452156743, value: 0
mem: 94547452156742, value: 0
mem: 94547452156741, value: 0
mem: 94547452156740, value: 0
mem: 94547452156739, value: 0
mem: 94547452156738, value: 0
mem: 94547452156737, value: 0
mem: 94547452156736, value: 0
