mem: 93917384796991, value: 0
mem: 93917384796990, value: 0
mem: 93917384796989, value: 0
mem: 93917384796988, value: 0
mem: 93917384796987, value: 0
mem: 93917384796986, value: 0
mem: 93917384796985, value: 0
mem: 93917384796984, value: 0
mem: 93917384796983, value: 0
mem: 93917384796982, value: 0
mem: 93917384796981, value: 0
mem: 93917384796980, value: 0
mem: 93917384796979, value: 0
mem: 93917384796978, value: 0
mem: 93917384796977, value: 0
mem: 93917384796976, value: 0
mem: 93917384796975, value: 0
mem: 93917384796974, value: 0
mem: 93917384796973, value: 0
mem: 93917384796972, value: 0
mem: 93917384796971, value: 0
mem: 93917384796970, value: 0
mem: 93917384796969, value: 0
mem: 93917384796968, value: 0
mem: 93917384796967, value: 0
mem: 93917384796966, value: 0
mem: 93917384796965, value: 0
mem: 93917384796964, value: 0
mem: 93917384796963, value: 0
mem: 93917384796962, value: 0
mem: 93917384796961, value: 0
mem: 93917384796960, value: 0
mem: 93917384796959, value: 0
mem: 93917384796958, value: 0
mem: 93917384796957, value: 0
mem: 93917384796956, value: 0
mem: 93917384796955, value: 0
mem: 93917384796954, value: 0
mem: 93917384796953, value: 0
mem: 93917384796952, value: 0
mem: 93917384796951, value: 0
mem: 93917384796950, value: 0
mem: 93917384796949, value: 0
mem: 93917384796948, value: 0
mem: 93917384796947, value: 0
mem: 93917384796946, value: 0
mem: 93917384796945, value: 0
mem: 93917384796944, value: 0
