mem: 94896371404559, value: 0
mem: 94896371404558, value: 0
mem: 94896371404557, value: 0
mem: 94896371404556, value: 0
mem: 94896371404555, value: 0
mem: 94896371404554, value: 0
mem: 94896371404553, value: 0
mem: 94896371404552, value: 0
mem: 94896371404551, value: 0
mem: 94896371404550, value: 0
mem: 94896371404549, value: 86
mem: 94896371404548, value: 78
mem: 94896371404547, value: 184
mem: 94896371404546, value: 128
mem: 94896371404545, value: 24
mem: 94896371404544, value: 208
mem: 94896371404543, value: 0
mem: 94896371404542, value: 0
mem: 94896371404541, value: 0
mem: 94896371404540, value: 0
mem: 94896371404539, value: 0
mem: 94896371404538, value: 0
mem: 94896371404537, value: 0
mem: 94896371404536, value: 0
mem: 94896371404535, value: 0
mem: 94896371404534, value: 0
mem: 94896371404533, value: 0
mem: 94896371404532, value: 0
mem: 94896371404531, value: 0
mem: 94896371404530, value: 0
mem: 94896371404529, value: 0
mem: 94896371404528, value: 0
mem: 94896371404527, value: 0
mem: 94896371404526, value: 0
mem: 94896371404525, value: 0
mem: 94896371404524, value: 0
mem: 94896371404523, value: 0
mem: 94896371404522, value: 0
mem: 94896371404521, value: 0
mem: 94896371404520, value: 0
mem: 94896371404519, value: 0
mem: 94896371404518, value: 0
mem: 94896371404517, value: 0
mem: 94896371404516, value: 0
mem: 94896371404515, value: 0
mem: 94896371404514, value: 0
mem: 94896371404513, value: 0
mem: 94896371404512, value: 0
mem: 94896371404511, value: 0
mem: 94896371404510, value: 0
mem: 94896371404509, value: 0
mem: 94896371404508, value: 0
mem: 94896371404507, value: 0
mem: 94896371404506, value: 0
mem: 94896371404505, value: 0
mem: 94896371404504, value: 0
mem: 94896371404503, value: 0
mem: 94896371404502, value: 0
mem: 94896371404501, value: 0
mem: 94896371404500, value: 0
mem: 94896371404499, value: 0
mem: 94896371404498, value: 0
mem: 94896371404497, value: 0
mem: 94896371404496, value: 0
mem: 94896371404495, value: 0
mem: 94896371404494, value: 0
mem: 94896371404493, value: 0
mem: 94896371404492, value: 0
mem: 94896371404491, value: 0
mem: 94896371404490, value: 0
mem: 94896371404489, value: 0
mem: 94896371404488, value: 0
mem: 94896371404487, value: 0
mem: 94896371404486, value: 0
mem: 94896371404485, value: 0
mem: 94896371404484, value: 0
mem: 94896371404483, value: 0
mem: 94896371404482, value: 0
mem: 94896371404481, value: 0
mem: 94896371404480, value: 0
mem: 94896371404479, value: 0
mem: 94896371404478, value: 0
mem: 94896371404477, value: 0
mem: 94896371404476, value: 0
mem: 94896371404475, value: 0
mem: 94896371404474, value: 0
mem: 94896371404473, value: 0
mem: 94896371404472, value: 0
mem: 94896371404471, value: 0
mem: 94896371404470, value: 0
mem: 94896371404469, value: 0
mem: 94896371404468, value: 0
mem: 94896371404467, value: 0
mem: 94896371404466, value: 0
mem: 94896371404465, value: 0
mem: 94896371404464, value: 0
mem: 94896371404463, value: 0
mem: 94896371404462, value: 0
mem: 94896371404461, value: 0
mem: 94896371404460, value: 0
mem: 94896371404459, value: 0
mem: 94896371404458, value: 0
mem: 94896371404457, value: 0
mem: 94896371404456, value: 0
mem: 94896371404455, value: 0
mem: 94896371404454, value: 0
mem: 94896371404453, value: 0
mem: 94896371404452, value: 0
mem: 94896371404451, value: 0
mem: 94896371404450, value: 0
mem: 94896371404449, value: 0
mem: 94896371404448, value: 0
mem: 94896371404447, value: 0
mem: 94896371404446, value: 0
mem: 94896371404445, value: 0
mem: 94896371404444, value: 0
mem: 94896371404443, value: 0
mem: 94896371404442, value: 0
mem: 94896371404441, value: 0
mem: 94896371404440, value: 0
mem: 94896371404439, value: 0
mem: 94896371404438, value: 0
mem: 94896371404437, value: 0
mem: 94896371404436, value: 0
mem: 94896371404435, value: 0
mem: 94896371404434, value: 0
mem: 94896371404433, value: 0
mem: 94896371404432, value: 0
mem: 94896371404431, value: 0
mem: 94896371404430, value: 0
mem: 94896371404429, value: 0
mem: 94896371404428, value: 0
mem: 94896371404427, value: 0
mem: 94896371404426, value: 0
mem: 94896371404425, value: 0
mem: 94896371404424, value: 0
mem: 94896371404423, value: 0
mem: 94896371404422, value: 0
mem: 94896371404421, value: 0
mem: 94896371404420, value: 0
mem: 94896371404419, value: 0
mem: 94896371404418, value: 0
mem: 94896371404417, value: 0
mem: 94896371404416, value: 0
mem: 94896371404415, value: 0
mem: 94896371404414, value: 0
mem: 94896371404413, value: 0
mem: 94896371404412, value: 0
mem: 94896371404411, value: 0
mem: 94896371404410, value: 0
mem: 94896371404409, value: 0
mem: 94896371404408, value: 0
mem: 94896371404407, value: 0
mem: 94896371404406, value: 0
mem: 94896371404405, value: 0
mem: 94896371404404, value: 0
mem: 94896371404403, value: 0
mem: 94896371404402, value: 0
mem: 94896371404401, value: 0
mem: 94896371404400, value: 0
mem: 94896371404399, value: 0
mem: 94896371404398, value: 0
mem: 94896371404397, value: 0
mem: 94896371404396, value: 0
mem: 94896371404395, value: 0
mem: 94896371404394, value: 0
mem: 94896371404393, value: 0
mem: 94896371404392, value: 0
mem: 94896371404391, value: 0
mem: 94896371404390, value: 0
mem: 94896371404389, value: 0
mem: 94896371404388, value: 0
mem: 94896371404387, value: 0
mem: 94896371404386, value: 0
mem: 94896371404385, value: 0
mem: 94896371404384, value: 0
mem: 94896371404383, value: 0
mem: 94896371404382, value: 0
mem: 94896371404381, value: 0
mem: 94896371404380, value: 0
mem: 94896371404379, value: 0
mem: 94896371404378, value: 0
mem: 94896371404377, value: 0
mem: 94896371404376, value: 0
mem: 94896371404375, value: 0
mem: 94896371404374, value: 0
mem: 94896371404373, value: 0
mem: 94896371404372, value: 0
mem: 94896371404371, value: 0
mem: 94896371404370, value: 0
mem: 94896371404369, value: 0
mem: 94896371404368, value: 0
mem: 94896371404367, value: 0
mem: 94896371404366, value: 0
mem: 94896371404365, value: 0
mem: 94896371404364, value: 0
mem: 94896371404363, value: 0
mem: 94896371404362, value: 0
mem: 94896371404361, value: 0
mem: 94896371404360, value: 0
mem: 94896371404359, value: 0
mem: 94896371404358, value: 0
mem: 94896371404357, value: 0
mem: 94896371404356, value: 0
mem: 94896371404355, value: 0
mem: 94896371404354, value: 0
mem: 94896371404353, value: 0
mem: 94896371404352, value: 0
mem: 94896371404351, value: 0
mem: 94896371404350, value: 0
mem: 94896371404349, value: 0
mem: 94896371404348, value: 0
mem: 94896371404347, value: 0
mem: 94896371404346, value: 0
mem: 94896371404345, value: 0
mem: 94896371404344, value: 0
mem: 94896371404343, value: 0
mem: 94896371404342, value: 0
mem: 94896371404341, value: 0
mem: 94896371404340, value: 0
mem: 94896371404339, value: 0
mem: 94896371404338, value: 0
mem: 94896371404337, value: 0
mem: 94896371404336, value: 0
mem: 94896371404335, value: 0
mem: 94896371404334, value: 0
mem: 94896371404333, value: 0
mem: 94896371404332, value: 0
mem: 94896371404331, value: 0
mem: 94896371404330, value: 0
mem: 94896371404329, value: 0
mem: 94896371404328, value: 0
mem: 94896371404327, value: 0
mem: 94896371404326, value: 0
mem: 94896371404325, value: 0
mem: 94896371404324, value: 0
mem: 94896371404323, value: 0
mem: 94896371404322, value: 0
mem: 94896371404321, value: 0
mem: 94896371404320, value: 0
mem: 94896371404319, value: 0
mem: 94896371404318, value: 0
mem: 94896371404317, value: 0
mem: 94896371404316, value: 0
mem: 94896371404315, value: 0
mem: 94896371404314, value: 0
mem: 94896371404313, value: 0
mem: 94896371404312, value: 0
mem: 94896371404311, value: 0
mem: 94896371404310, value: 0
mem: 94896371404309, value: 0
mem: 94896371404308, value: 0
mem: 94896371404307, value: 0
mem: 94896371404306, value: 0
mem: 94896371404305, value: 0
mem: 94896371404304, value: 0
mem: 94896371404303, value: 0
mem: 94896371404302, value: 0
mem: 94896371404301, value: 0
mem: 94896371404300, value: 0
mem: 94896371404299, value: 0
mem: 94896371404298, value: 0
mem: 94896371404297, value: 0
mem: 94896371404296, value: 0
mem: 94896371404295, value: 0
mem: 94896371404294, value: 0
mem: 94896371404293, value: 0
mem: 94896371404292, value: 0
mem: 94896371404291, value: 0
mem: 94896371404290, value: 0
mem: 94896371404289, value: 0
mem: 94896371404288, value: 0
mem: 94896371404287, value: 0
mem: 94896371404286, value: 0
mem: 94896371404285, value: 0
mem: 94896371404284, value: 0
mem: 94896371404283, value: 0
mem: 94896371404282, value: 0
mem: 94896371404281, value: 0
mem: 94896371404280, value: 0
mem: 94896371404279, value: 0
mem: 94896371404278, value: 0
mem: 94896371404277, value: 0
mem: 94896371404276, value: 0
mem: 94896371404275, value: 0
mem: 94896371404274, value: 0
mem: 94896371404273, value: 0
mem: 94896371404272, value: 0
mem: 94896371404271, value: 0
mem: 94896371404270, value: 0
mem: 94896371404269, value: 0
mem: 94896371404268, value: 0
mem: 94896371404267, value: 0
mem: 94896371404266, value: 0
mem: 94896371404265, value: 0
mem: 94896371404264, value: 0
mem: 94896371404263, value: 0
mem: 94896371404262, value: 0
mem: 94896371404261, value: 0
mem: 94896371404260, value: 0
mem: 94896371404259, value: 0
mem: 94896371404258, value: 0
mem: 94896371404257, value: 0
mem: 94896371404256, value: 0
mem: 94896371404255, value: 0
mem: 94896371404254, value: 0
mem: 94896371404253, value: 0
mem: 94896371404252, value: 0
mem: 94896371404251, value: 0
mem: 94896371404250, value: 0
mem: 94896371404249, value: 0
mem: 94896371404248, value: 0
mem: 94896371404247, value: 0
mem: 94896371404246, value: 0
mem: 94896371404245, value: 0
mem: 94896371404244, value: 0
mem: 94896371404243, value: 0
mem: 94896371404242, value: 0
mem: 94896371404241, value: 0
mem: 94896371404240, value: 0
mem: 94896371404239, value: 0
mem: 94896371404238, value: 0
mem: 94896371404237, value: 0
mem: 94896371404236, value: 0
mem: 94896371404235, value: 0
mem: 94896371404234, value: 0
mem: 94896371404233, value: 0
mem: 94896371404232, value: 0
mem: 94896371404231, value: 0
mem: 94896371404230, value: 0
mem: 94896371404229, value: 0
mem: 94896371404228, value: 0
mem: 94896371404227, value: 0
mem: 94896371404226, value: 0
mem: 94896371404225, value: 0
mem: 94896371404224, value: 0
mem: 94896371404223, value: 0
mem: 94896371404222, value: 0
mem: 94896371404221, value: 0
mem: 94896371404220, value: 0
mem: 94896371404219, value: 0
mem: 94896371404218, value: 0
mem: 94896371404217, value: 0
mem: 94896371404216, value: 0
mem: 94896371404215, value: 0
mem: 94896371404214, value: 0
mem: 94896371404213, value: 0
mem: 94896371404212, value: 0
mem: 94896371404211, value: 0
mem: 94896371404210, value: 0
mem: 94896371404209, value: 0
mem: 94896371404208, value: 0
mem: 94896371404207, value: 0
mem: 94896371404206, value: 0
mem: 94896371404205, value: 0
mem: 94896371404204, value: 0
mem: 94896371404203, value: 0
mem: 94896371404202, value: 0
mem: 94896371404201, value: 0
mem: 94896371404200, value: 0
mem: 94896371404199, value: 0
mem: 94896371404198, value: 0
mem: 94896371404197, value: 0
mem: 94896371404196, value: 0
mem: 94896371404195, value: 0
mem: 94896371404194, value: 0
mem: 94896371404193, value: 0
mem: 94896371404192, value: 0
mem: 94896371404191, value: 0
mem: 94896371404190, value: 0
mem: 94896371404189, value: 0
mem: 94896371404188, value: 0
mem: 94896371404187, value: 0
mem: 94896371404186, value: 0
mem: 94896371404185, value: 0
mem: 94896371404184, value: 0
mem: 94896371404183, value: 0
mem: 94896371404182, value: 0
mem: 94896371404181, value: 0
mem: 94896371404180, value: 0
mem: 94896371404179, value: 0
mem: 94896371404178, value: 0
mem: 94896371404177, value: 0
mem: 94896371404176, value: 0
mem: 94896371404175, value: 0
mem: 94896371404174, value: 0
mem: 94896371404173, value: 0
mem: 94896371404172, value: 0
mem: 94896371404171, value: 0
mem: 94896371404170, value: 0
mem: 94896371404169, value: 0
mem: 94896371404168, value: 0
mem: 94896371404167, value: 0
mem: 94896371404166, value: 0
mem: 94896371404165, value: 0
mem: 94896371404164, value: 0
mem: 94896371404163, value: 0
mem: 94896371404162, value: 0
mem: 94896371404161, value: 0
mem: 94896371404160, value: 0
mem: 94896371404159, value: 0
mem: 94896371404158, value: 0
mem: 94896371404157, value: 0
mem: 94896371404156, value: 0
mem: 94896371404155, value: 0
mem: 94896371404154, value: 0
mem: 94896371404153, value: 0
mem: 94896371404152, value: 0
mem: 94896371404151, value: 0
mem: 94896371404150, value: 0
mem: 94896371404149, value: 0
mem: 94896371404148, value: 0
mem: 94896371404147, value: 0
mem: 94896371404146, value: 0
mem: 94896371404145, value: 0
mem: 94896371404144, value: 0
mem: 94896371404143, value: 0
mem: 94896371404142, value: 0
mem: 94896371404141, value: 0
mem: 94896371404140, value: 0
mem: 94896371404139, value: 0
mem: 94896371404138, value: 0
mem: 94896371404137, value: 0
mem: 94896371404136, value: 0
mem: 94896371404135, value: 0
mem: 94896371404134, value: 0
mem: 94896371404133, value: 0
mem: 94896371404132, value: 0
mem: 94896371404131, value: 0
mem: 94896371404130, value: 0
mem: 94896371404129, value: 0
mem: 94896371404128, value: 0
mem: 94896371404127, value: 0
mem: 94896371404126, value: 0
mem: 94896371404125, value: 0
mem: 94896371404124, value: 0
mem: 94896371404123, value: 0
mem: 94896371404122, value: 0
mem: 94896371404121, value: 0
mem: 94896371404120, value: 0
mem: 94896371404119, value: 0
mem: 94896371404118, value: 0
mem: 94896371404117, value: 0
mem: 94896371404116, value: 0
mem: 94896371404115, value: 0
mem: 94896371404114, value: 0
mem: 94896371404113, value: 0
mem: 94896371404112, value: 0
mem: 94896371404111, value: 0
mem: 94896371404110, value: 0
mem: 94896371404109, value: 0
mem: 94896371404108, value: 0
mem: 94896371404107, value: 0
mem: 94896371404106, value: 0
mem: 94896371404105, value: 0
mem: 94896371404104, value: 0
mem: 94896371404103, value: 0
mem: 94896371404102, value: 0
mem: 94896371404101, value: 0
mem: 94896371404100, value: 0
mem: 94896371404099, value: 0
mem: 94896371404098, value: 0
mem: 94896371404097, value: 0
mem: 94896371404096, value: 0
mem: 94896371404095, value: 0
mem: 94896371404094, value: 0
mem: 94896371404093, value: 0
mem: 94896371404092, value: 0
mem: 94896371404091, value: 0
mem: 94896371404090, value: 0
mem: 94896371404089, value: 0
mem: 94896371404088, value: 0
mem: 94896371404087, value: 0
mem: 94896371404086, value: 0
mem: 94896371404085, value: 0
mem: 94896371404084, value: 0
mem: 94896371404083, value: 0
mem: 94896371404082, value: 0
mem: 94896371404081, value: 0
mem: 94896371404080, value: 0
mem: 94896371404079, value: 0
mem: 94896371404078, value: 0
mem: 94896371404077, value: 0
mem: 94896371404076, value: 0
mem: 94896371404075, value: 0
mem: 94896371404074, value: 0
mem: 94896371404073, value: 0
mem: 94896371404072, value: 0
mem: 94896371404071, value: 0
mem: 94896371404070, value: 0
mem: 94896371404069, value: 0
mem: 94896371404068, value: 0
mem: 94896371404067, value: 0
mem: 94896371404066, value: 0
mem: 94896371404065, value: 0
mem: 94896371404064, value: 0
mem: 94896371404063, value: 0
mem: 94896371404062, value: 0
mem: 94896371404061, value: 0
mem: 94896371404060, value: 0
mem: 94896371404059, value: 0
mem: 94896371404058, value: 0
mem: 94896371404057, value: 0
mem: 94896371404056, value: 0
mem: 94896371404055, value: 0
mem: 94896371404054, value: 0
mem: 94896371404053, value: 0
mem: 94896371404052, value: 0
mem: 94896371404051, value: 0
mem: 94896371404050, value: 0
mem: 94896371404049, value: 0
mem: 94896371404048, value: 0
mem: 94896371404047, value: 0
mem: 94896371404046, value: 0
mem: 94896371404045, value: 0
mem: 94896371404044, value: 0
mem: 94896371404043, value: 0
mem: 94896371404042, value: 0
mem: 94896371404041, value: 0
mem: 94896371404040, value: 0
mem: 94896371404039, value: 0
mem: 94896371404038, value: 0
mem: 94896371404037, value: 0
mem: 94896371404036, value: 0
mem: 94896371404035, value: 0
mem: 94896371404034, value: 0
mem: 94896371404033, value: 0
mem: 94896371404032, value: 0
mem: 94896371404031, value: 0
mem: 94896371404030, value: 0
mem: 94896371404029, value: 0
